taxon,matK,ndhF,rbcL
Senecio_polypodioides,EU385396,EU385205,EU385017
Sonchus_oleraceus,EU385397,EU385206,EU385018
Spinacia,HE855620.1,AY090621.1,AF071545.1
Stenopadus_talaumifolius,EU385398,EU385207,EU385019
Stevia_rebaudiana,AY215865,AF384787,AY215182
Stifftia_chrysantha,EU385399,EU385208,EU385020
Stokesia_laevis,EU385400,EU385209,L13076
Stomatochaeta_condensata,EU385401,EU385210,EU385021
Stylidium,AJ429390.1,AF130188.1,AJ225052.1
Syncarpha_vestita,EU385402,EU385211,EU385022
Tagetes_erecta,AY215867,L39466,AY215184
Tarchonanthus_camphoratus,EU385403,EU385212,EU385023
Trichocline_boecheri,EU385404,EU385213,EU385024
Trilisa_paniculata,HQ416291,AF384744,AY215138
Trixis_divaricata,EU385405,EU385214,EU385025
Ursinia_speciosa,EU385406,EU385215,EU385026
Villarsia,EU257182.1,AF130180.1,EF173112.1
Wittsteinia,GQ983647.1,AJ238345.1,X87399.1
Wunderlichia_mirabilis,EU385408,EU385217,EU385028
Youngia_japonica,EU385409,EU385218,EU385029
Zinnia_juniperifolia,AY215883,AF384805,AY215200
Bahia_absinthifolia,AY215766.1,L39464.1,AY215086.1
Amauriopsis_dissecta,GU817424.1,GU817832.1,GU817741.1
Florestina_pedata,AY215799.1,AF384725.3,AY215118.1
Palafoxia_arida,AY215836.1,L39463.1,AY215154.1
Chaetymenia_peduncularis,AY215772.1,AF384700.3,AY215092.1
Chaenactis_santolinoides,AY215771.1,AF384699.3,AY215091.1
Chaenactis_douglasii,GU817439.1,GU817842.1,GU817747.1
Dimeresia_howellii,AY215783.1,AF384710.3,AY215102.1
Peucephyllum_schottii,AY215842.1,AF384764.3,AY215160.1
Lagophylla_ramosissima,AY215816.1,AF384740.3,AY215134.1
Madia_sativa,AY215823.1,,AY215141.1
Raillardella_argentea,AY215851.1,AF384773.3,AY215169.1
Arnica_dealbata,AY215880.1,AF384802.3,AY215197.1
Hulsea_algida,AY215807.1,AF384732.3,AY215126.1
